dataset,num_components,train_size,test_size,vector_size,g_mean,kappa
GAS-D1.arff,15,50,200,3,0.803241974631709,0.802879141892165
GAS-D1.arff,15,50,200,4,0.808384319395698,0.820886367694988
GAS-D1.arff,15,50,200,5,0.809499270223475,0.846658608523697
GAS-D1.arff,15,50,200,6,0.813227745303024,0.841219648052389
GAS-D1.arff,15,100,50,2,0.814584373280239,0.846944398369355
GAS-D1.arff,15,100,50,3,0.804299962604615,0.793559478631686
GAS-D1.arff,15,100,50,4,0.811393788403368,0.841017398469058
GAS-D1.arff,15,100,50,5,0.81481718961414,0.847421972147727
GAS-D1.arff,15,100,50,6,0.814161557292434,0.804510607131106
GAS-D1.arff,15,100,100,2,0.814118539620427,0.810820454973141
GAS-D1.arff,15,100,100,3,0.804373483625565,0.762442059313234
GAS-D1.arff,15,100,100,4,0.813274449537557,0.806052936508097
GAS-D1.arff,15,100,100,5,0.807725423020421,0.812922044282462
GAS-D1.arff,15,100,100,6,0.81457130790816,0.780522188273403
GAS-D1.arff,15,100,200,2,0.811766885948959,0.828833499974181
GAS-D1.arff,15,100,200,3,0.804588709805777,0.829702921379138
GAS-D1.arff,15,100,200,4,0.813735165308456,0.814074892274926
GAS-D1.arff,15,100,200,5,0.808481271674985,0.826419199100369
GAS-D1.arff,15,100,200,6,0.811473697795563,0.843751767606388
TAGS-D1.arff,15,20,50,2,0.701734037487511,0.465865141406541
TAGS-D1.arff,15,20,50,3,0.701343197848658,0.467981131581696
TAGS-D1.arff,15,20,50,4,0.699864932119697,0.46466259645599
TAGS-D1.arff,15,20,50,5,0.699159312738185,0.465239055867213
TAGS-D1.arff,15,20,50,6,0.703179678553618,0.468635184063765
TAGS-D1.arff,15,20,100,2,0.693994339593348,0.458029241204757
TAGS-D1.arff,15,20,100,3,0.689824073456668,0.456154513237581
TAGS-D1.arff,15,20,100,4,0.690491920118488,0.45673726825268
TAGS-D1.arff,15,20,100,5,0.691920971591464,0.455442987131587
TAGS-D1.arff,15,20,100,6,0.687373192151438,0.454940285920257
TAGS-D1.arff,15,20,200,2,0.682178193208509,0.44749897396133
TAGS-D1.arff,15,20,200,3,0.678546934474131,0.447375667013747
TAGS-D1.arff,15,20,200,4,0.680982653082931,0.446508272125515
TAGS-D1.arff,15,20,200,5,0.686654583125424,0.452300660193389
TAGS-D1.arff,15,20,200,6,0.676290705198992,0.440320662321704
TAGS-D1.arff,15,50,50,2,0.710668275030723,0.441416273915643
TAGS-D1.arff,15,50,50,3,0.707133753425452,0.440381656410256
TAGS-D1.arff,15,50,50,4,0.711549110407739,0.442837518289302
TAGS-D1.arff,15,50,50,5,0.70543725829819,0.435359283314553
TAGS-D1.arff,15,50,50,6,0.70996235815729,0.439926886029091
TAGS-D1.arff,15,50,100,2,0.695002774029899,0.428771695379731
TAGS-D1.arff,15,50,100,3,0.703436841749179,0.434705477645401
TAGS-D1.arff,15,50,100,4,0.699164416844981,0.428439821825095
TAGS-D1.arff,15,50,100,5,0.702003795851625,0.429901295826384
TAGS-D1.arff,15,50,100,6,0.700566799662091,0.4342838269851
TAGS-D1.arff,15,50,200,2,0.685215258775266,0.414604888137183
TAGS-D1.arff,15,50,200,3,0.688961183136967,0.419579073573438
TAGS-D1.arff,15,50,200,4,0.682507264930326,0.412227494349567
TAGS-D1.arff,15,50,200,5,0.686391227831528,0.414421330047772
TAGS-D1.arff,15,50,200,6,0.683627322422916,0.412640403812397
TAGS-D1.arff,15,100,50,2,0.706894911564569,0.409622828738562
TAGS-D1.arff,15,100,50,3,0.708597735243587,0.412175707628105
TAGS-D1.arff,15,100,50,4,0.710787015212767,0.411957287223141
